title,image_urls,price
"For sale  family house 247 m², land 296 m²","https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/5ORBYzZ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QQ_Lp/VQ3BY0b.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/Cd2BYzY.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_LH/SmABYzP.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QM_Ko/IedBZBV.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QO_K7/k2OBY7O.jpeg?fl=res,400,300,3|shr,,20|jpg,90",27552000
"For sale  family house 131 m², land 165 m²","https://d18-a.sdn.cz/d_18/c_img_gY_z/smVBWQ.mpo?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gX_0/vDyBWG.mpo?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gR_0/q8TBWC.mpo?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gY_z/RaOBWS.mpo?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_LM/p10DO5.mpo?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QJ_Jw/wB9DML.mpo?fl=res,400,300,3|shr,,20|jpg,90",8326000
"For sale  family house 194 m², land 480 m²","https://d18-a.sdn.cz/d_18/c_img_gW_z/PDjT83.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QI_Jr/0j1Lkt.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QO_LA/0hNkdJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gY_z/auiT7Z.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gU_z/UcNT72.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/Nm7kn1.jpeg?fl=res,400,300,3|shr,,20|jpg,90",20473000
"For sale  villas 674 m², land 580 m²","https://d18-a.sdn.cz/d_18/c_img_QI_Jr/wCFLNh.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gT_4/t8dF4M.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gR_0/8LsT0c.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gZ_0/P5LTwn.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_KC/iZ1kZ7.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/nRdkRT.jpeg?fl=res,400,300,3|shr,,20|jpg,90",20473000
"For sale  villas 323 m², land 1 010 m²","https://d18-a.sdn.cz/d_18/c_img_gQ_0/wXMTD8.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gS_0/ZCMTGe.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QO_LA/ItLiRa.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gS_0/RtYTGg.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gR_0/3TMTF0.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/pppHKt.jpeg?fl=res,400,300,3|shr,,20|jpg,90",40253000
"For sale  family house 337 m², land 430 m²","https://d18-a.sdn.cz/d_18/c_img_QP_LN/tS5X3z.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Jw/1WXWed.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gR_0/CNITxG.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gQ_0/4D6TwJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QI_Jr/vAWLED.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QK_Jw/HD5Wee.jpeg?fl=res,400,300,3|shr,,20|jpg,90",17349000
"For sale  family house 333 m², land 298 m²","https://d18-a.sdn.cz/d_18/c_img_QI_Jm/VjTr88.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QM_Kn/2wQPmp.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QI_Jm/ndnr89.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KC/po2BG4R.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_LG/gBbBGXD.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QP_LG/LdEBGXE.jpeg?fl=res,400,300,3|shr,,20|jpg,90",37408000
"For sale  villas 519 m², land 946 m²","https://d18-a.sdn.cz/d_18/c_img_QI_Jr/oDIJsx.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gS_0/64hTUe.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gV_2/SSETT7.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QL_KC/ApVi5Q.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gS_0/eDWTUf.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gW_z/OLcTYx.jpeg?fl=res,400,300,3|shr,,20|jpg,90",57743000
"For sale  family house 152 m², land 610 m²","https://d18-a.sdn.cz/d_18/c_img_QL_J9/dHfBQY0.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KD/t8aBQSs.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MK/pUKBQSJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/VSjBQRS.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QR_MK/JwEBQSK.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QN_KD/q0jBQSt.jpeg?fl=res,400,300,3|shr,,20|jpg,90",20619000
"For sale  family house 278 m², land 956 m²","https://d18-a.sdn.cz/d_18/c_img_QN_KG/CYQikO.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gV_2/R4bTGl.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gQ_0/FezTE3.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/UWzHLv.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_QO_LA/hfWiSZ.jpeg?fl=res,400,300,3|shr,,20|jpg,90;https://d18-a.sdn.cz/d_18/c_img_gZ_0/uO1TCB.jpeg?fl=res,400,300,3|shr,,20|jpg,90",32201000
